%Starting New File
%File Name="/sd/SoftTiss.csv"
%Strain,StrainDot,StrainDotDot
0.3885717,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3885717,-0.8163289,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3885717,-0.8163289,-0.0000000
0.3942860,-0.0000000,116.6184082
0.3942860,-0.0000000,116.6184082
0.3942860,-0.0000000,116.6184082
0.3942860,0.8163289,116.6184082
0.3942860,-0.0000000,116.6184082
0.3942860,-0.0000000,116.6184082
0.3942860,0.8163289,116.6184082
0.3942860,-0.0000000,-116.6184082
0.3942860,-0.0000000,-116.6184082
0.3942860,-0.0000000,-116.6184082
0.3942860,-0.0000000,-116.6184082
0.3942860,-0.0000000,-116.6184082
0.3942860,-0.0000000,-116.6184082
0.3942860,-0.0000000,-116.6184082
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
0.3942860,-0.0000000,-0.0000000
-0.4057146,-7.3469601,116.6185608
0.0000000,-4.0650516,82.9603424
0.0000000,-2.9036078,82.9603424
-0.0040651,-2.3228867,82.9601822
-0.0040651,-2.3228867,82.9601822
-0.0081301,-2.3228867,82.9601822
-0.0121952,-2.3228867,82.9601822
-0.0162602,-2.3228867,82.9601822
-0.0203253,-2.9036083,82.9601822
0.2926831,5.2264948,-82.9601593
0.0057471,6.5681639,-117.2885284
0.0172414,7.3891840,117.2885895
0.0287357,7.3891840,117.2885895
0.0344829,6.5681639,117.2885895
0.0459771,7.3891840,117.2885895
0.0517243,7.3891840,117.2885895
0.0574714,6.5681639,117.2885895
0.0689657,7.3891840,117.2885895
0.0747129,6.5681639,-117.2885895
0.0804600,6.5681639,-117.2885895
0.0919543,7.3891840,-117.2885895
0.0977014,6.5681639,-117.2885895
0.1091948,7.3890567,-117.2885895
0.1149420,7.3890567,-117.2885895
0.1206891,6.5680361,-117.2885895
0.1264363,6.5680361,-0.0000000
0.1379306,6.5680361,-0.0000000
0.1436777,5.7470155,-0.0000000
0.1494248,5.7470155,-0.0000000
0.1551720,4.9261227,-0.0000000
0.1666663,5.7471433,-0.0000000
0.1724134,5.7471433,-0.0000000
0.1781606,5.7471433,-0.0000000
0.1839077,5.7471433,-0.0000000
0.1896548,5.7471433,-0.0000000
0.1954020,5.7471433,-0.0000000
0.2011491,5.7471433,-0.0000000
0.2068963,4.9261227,-0.0000000
0.2126434,4.9261227,-0.0000000
0.2183906,4.9261227,-0.0000000
0.2241377,4.9261227,-0.0000000
0.2298848,4.9261227,-0.0000000
0.2356320,4.9261227,-0.0000000
0.2356320,4.1051021,-0.0000000
0.2413791,4.1051021,-0.0000000
0.2471263,4.1051021,-0.0000000
0.2528734,4.1051021,-0.0000000
0.2586206,4.1051021,-0.0000000
0.2586206,3.2840819,-0.0000000
0.2643677,3.2840819,-0.0000000
0.2701148,4.1051021,-0.0000000
0.2758620,4.1051021,-0.0000000
0.2816091,4.1051021,-0.0000000
0.2873563,4.1051021,-0.0000000
0.2873563,4.1051021,-0.0000000
0.2931034,4.9261227,-0.0000000
0.2931034,4.1051021,-0.0000000
0.2988506,4.1051021,-0.0000000
0.3045977,4.1051021,-0.0000000
0.3045977,3.2840819,-0.0000000
0.3103448,3.2840819,-0.0000000
0.3103448,3.2840819,-0.0000000
0.3160920,3.2840819,-0.0000000
0.3218392,4.1051021,-0.0000000
0.3218392,3.2840819,-0.0000000
0.3275863,3.2840819,-0.0000000
0.3275863,3.2840819,-0.0000000
0.3333334,3.2840819,-0.0000000
0.3333334,3.2840819,-0.0000000
0.3390806,3.2840819,-0.0000000
0.3390806,2.4630613,-0.0000000
0.3448277,3.2840819,-0.0000000
0.3448277,2.4630613,-0.0000000
0.3505749,3.2840819,-0.0000000
0.3505749,2.4630613,-117.2886581
0.3505749,2.4630613,-117.2886581
0.3563220,2.4630613,-117.2886581
0.3563220,2.4630613,-117.2886581
0.3563220,1.6420410,-117.2886581
0.3620692,2.4630613,-117.2886581
0.3620692,1.6420410,-117.2886581
0.3620692,1.6420410,-0.0000000
0.3678163,1.6420410,-0.0000000
0.3678163,0.8210205,-0.0000000
0.3678163,0.8210205,-0.0000000
0.3678163,0.8210205,-0.0000000
0.3678163,-0.0000000,-0.0000000
0.3735634,0.8210205,-0.0000000
0.3735634,0.8210205,-0.0000000
0.3735634,0.8210205,-0.0000000
0.3735634,0.8210205,-0.0000000
0.3793106,1.6420410,-0.0000000
0.3793106,1.6420410,-0.0000000
0.3793106,1.6420410,-0.0000000
0.3793106,0.8210205,-0.0000000
0.3793106,0.8210205,-0.0000000
0.3793106,0.8210205,-0.0000000
0.3850577,1.6420410,-0.0000000
0.3850577,0.8210205,-0.0000000
0.3850577,0.8210205,-0.0000000
0.3850577,0.8210205,-0.0000000
0.3850577,0.8210205,-0.0000000
0.3850577,0.8210205,-0.0000000
0.3908049,0.8210205,-0.0000000
0.3908049,-0.0000000,-0.0000000
0.3850577,-0.8210205,-0.0000000
0.3908049,-0.0000000,-0.0000000
0.3908049,-0.0000000,-0.0000000
0.3908049,-0.0000000,-0.0000000
0.3908049,-0.0000000,-0.0000000
0.3908049,-0.0000000,-0.0000000
0.3908049,-0.0000000,-0.0000000
0.3908049,0.8210205,-0.0000000
0.3965520,0.8210205,-0.0000000
0.3908049,-0.0000000,-0.0000000
0.3908049,-0.0000000,-0.0000000
0.3908049,-0.0000000,-0.0000000
0.3908049,-0.0000000,-0.0000000
0.3908049,-0.0000000,-0.0000000
0.3965520,0.8210205,-0.0000000
0.3908049,-0.8210205,-0.0000000
0.3965520,0.8210205,-0.0000000
0.3908049,-0.0000000,-0.0000000
0.3965520,0.8210205,117.2886353
0.3965520,0.8210205,117.2886353
0.3908049,-0.0000000,117.2886353
0.3965520,-0.0000000,117.2886353
0.3908049,-0.0000000,117.2886353
0.3965520,-0.0000000,117.2886353
0.3965520,0.8210205,117.2886353
0.3965520,-0.0000000,-117.2886353
0.3965520,-0.0000000,-117.2886353
0.3965520,0.8210205,-117.2886353
0.3965520,-0.0000000,-117.2886353
0.3965520,0.8210205,-117.2886353
