%Time(ms),Error2,Error1,FirstTouch(m)
8881,4774.960938,12818.05664,0
8883,4834.945801,15696.15039,0
8884,4934.137207,19669.93555,0
8885,5818.831055,20860.63672,0
8886,6604.712891,21815.26953,0
8886,7294.101563,28936.51758,0
8888,8720.739258,29349.61328,0
8889,8802.286133,35041.78906,0
8890,9358.732422,39929.74609,0
8891,9896.933594,45468.58984,0
8891,10217.80469,51884.69531,0
8893,10979.18555,58544.81641,0
8894,11758.82813,65893.10156,0
8895,12558.44922,73947.04688,0
8896,13784.22559,80443.98438,0
8896,13994.91895,91137.42188,0
8898,15106.88477,100759.4844,0
8899,16187.90723,111184.1641,0
8900,17225.39258,122431.1406,0
8901,18616.87891,132215.2813,0
8901,18993.66992,146230.4844,0
8903,20071.02539,159397.8594,0
8904,21476.06445,171129.1719,0
8905,21985.86523,186967.9531,0
8906,23321.63477,199936.6406,0
8906,23634.21875,217130.1875,0
8908,24609.13477,233488.6719,0
8909,25908.69141,248397.3594,0
8910,26304.43359,267380.4688,0
8911,27522.82227,283471.9375,0
8911,27701.2832,303746.9375,0
8913,28936.14648,320882.0625,0
8914,29237.94922,342061.2188,0
8915,30339.19141,360339.1875,0
8916,30925.54102,380387.6563,0
8916,31386.3457,400878.3125,0
8918,31613.13867,423714.0313,0
8919,32626.00977,443625.3438,0
8920,33111.69922,465281.1875,0
8921,33571.04688,487240.0938,0
8921,33893.28516,509603.8438,0
8923,33963.48438,534226.75,0
8924,34814.92969,555875.125,0
8925,35136.76172,579213.4375,0
8926,35431.52344,602796.5,0
8926,35575.26953,626737.25,0
8928,35673.71875,652799.1875,0
8929,36815.50391,673688.875,0
8930,37018.79297,699459.25,0
8931,37280.33594,723992.0625,0
8931,37377.48828,748835.8125,0
8933,37668.51563,773619.1875,0
8934,37906.05078,798576.1875,0
8935,38085.33984,823697.875,0
8936,38202.28516,848974.3125,0
8936,38625.37891,872444.5625,0
8938,38848.27344,899070.8125,0
8939,39061.54688,924392.1875,0
8940,39206.71875,949829.9375,0
8941,39282.09375,975370.3125,0
8941,39663.62109,999104.5,0
8943,39923.57813,1025929.313,0
8944,40087.98438,1051398.875,0
12084,1388.865723,1746.625977,0
12085,1438.494995,5182.249023,0
12086,2563.955322,6307.087891,0
12086,2869.565918,6963.258301,0
12088,3507.941406,7383.382813,0
12089,4065.703369,8040.917969,0
12090,4552.683594,8983.12793,0
12091,4977.225586,10256.91113,0
12091,5130.188477,12122.77832,0
12093,5666.742188,13974.86523,0
12094,6158.787109,16287.70508,0
12095,6610.429199,19100.89453,0
12096,7025.479981,22451.59961,0
12096,7203.934082,26578.07031,0
12098,7767.254883,30894.36133,0
12099,8315.858398,35832.84375,0
12100,8860.165039,41413.16016,0
12101,9410.652344,47652.16016,0
12101,10157.06348,52541.94531,0
12103,10578.54102,60879.77734,0
12104,11514.41309,68497.22656,0
12105,12457.0791,76846.92188,0
12106,13395.34863,85955.10156,0
12106,14127.34961,96035.96094,0
12108,15175.27637,106576.9063,0
12109,16571.43555,115665.2422,0
12110,17095.28711,128833.5313,0
12111,18041.9668,141439.8125,0
12111,18780.14844,155042.6875,0
12113,20085.96875,166976,0
12114,20499.87305,183006.6563,0
12115,21737.18359,196180.6719,0
12116,22085.36523,213438.0625,0
12116,23127.93164,227960.7031,0
12118,23556.01367,246274.7188,0
12119,24396.54297,263988.625,0
12120,25561.97656,280245.7813,0
12121,26243.86328,298272.0313,0
12121,26386.05078,319034.9063,0
12123,27582.69336,336663.0313,0
12124,28274.62891,356059.1875,0
12125,28529.73633,378039.6875,0
12126,29575.91211,397122.4375,0
