% Data output, Exercise:peg_board_level_1, Input:hydra
% Date:06/15/2015, Time:16:12:13
% time, tool1_x, tool1_y, tool1_z, tool2_x, tool2_y, tool2_z, tool1_q0, tool1_q1, tool1_q2, tool1_q3, tool2_q0, tool2_q1, tool2_q2, tool2_q3, master1_x, master1_y, master1_z, master2_x, master2_y, master2_z, master1_q0, master1_q1, master1_q2, master1_q3, master2_q0, master2_q1, master2_q2, master2_q3, master1_open, master2_open, foot_pedal, is_touch, tool1_jaw_interaction, tool1_aux_interaction, tool1_normal_force, tool1_shear_force, tool2_jaw_interaction, tool2_aux_interaction, tool2_normal_force, tool2_shear_force, tool3_interact
19.716999,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,0.000000,-0.114556,0.975191,10.00730,-0.82617,-6.31728,-5.41125,3.69650,0.46404,-0.148753,0.599047,-0.126554,0.776530,0.027760,-0.105521,-0.020484,0.993818,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.733999,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.01074,-0.82852,-6.31880,-5.41130,3.69668,0.46375,-0.148665,0.599143,-0.126713,0.776447,0.027746,-0.105533,-0.020487,0.993818,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.750000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.01174,-0.82957,-6.32061,-5.41108,3.69694,0.46334,-0.148729,0.599097,-0.126823,0.776453,0.027724,-0.105538,-0.020499,0.993817,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.767000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967686,-0.189422,0.000000,-0.114556,0.975191,10.01183,-0.82969,-6.32090,-5.41178,3.69664,0.46374,-0.148749,0.599075,-0.126842,0.776462,0.027750,-0.105575,-0.020487,0.993813,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.783001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.01508,-0.83183,-6.32199,-5.41257,3.69652,0.46383,-0.148677,0.599121,-0.126997,0.776415,0.027758,-0.105563,-0.020441,0.993815,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.799999,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967686,-0.189422,-0.000000,-0.114556,0.975191,10.01581,-0.83253,-6.32307,-5.41266,3.69601,0.46464,-0.148670,0.599171,-0.127044,0.776371,0.027800,-0.105560,-0.020439,0.993814,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.816999,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.01219,-0.83051,-6.32323,-5.41175,3.69669,0.46367,-0.148841,0.599044,-0.126935,0.776453,0.027745,-0.105552,-0.020475,0.993816,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.905001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00948,-0.82789,-6.31913,-5.41303,3.69581,0.46493,-0.148730,0.599106,-0.126681,0.776468,0.027818,-0.105594,-0.020442,0.993810,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.915001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00817,-0.82755,-6.32068,-5.41076,3.69702,0.46327,-0.148880,0.598998,-0.126705,0.776519,0.027720,-0.105583,-0.020540,0.993812,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.926001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00671,-0.82686,-6.32120,-5.41066,3.69743,0.46262,-0.148965,0.598948,-0.126674,0.776546,0.027686,-0.105591,-0.020546,0.993812,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
