% Data output, Exercise:myomectomy_closure_level_2, Input:mantis
% Date:06/16/2015, Time:19:41:34
% time, tool1_x, tool1_y, tool1_z, tool2_x, tool2_y, tool2_z, tool1_q0, tool1_q1, tool1_q2, tool1_q3, tool2_q0, tool2_q1, tool2_q2, tool2_q3, master1_x, master1_y, master1_z, master2_x, master2_y, master2_z, master1_q0, master1_q1, master1_q2, master1_q3, master2_q0, master2_q1, master2_q2, master2_q3, master1_open, master2_open, foot_pedal, is_touch, tool1_jaw_interaction, tool1_aux_interaction, tool1_normal_force, tool1_shear_force, tool2_jaw_interaction, tool2_aux_interaction, tool2_normal_force, tool2_shear_force, tool3_interact, tool3_normal_force, tool3_shear_force
26.257999,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923279,8.04811,0.00729,-4.59135,-7.44198,0.34539,-4.41596,-0.044279,0.351442,0.429221,0.830841,0.005628,-0.221887,-0.533325,0.816271,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.302000,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.06468,-0.02224,-4.54630,-7.44184,0.35327,-4.31330,-0.037703,0.330243,0.425630,0.841640,0.013732,-0.188115,-0.528191,0.827912,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.347000,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,0.000000,-0.294798,0.923280,8.10413,-0.03987,-4.47920,-7.44639,0.35553,-4.22501,-0.035629,0.312271,0.423070,0.849841,0.020194,-0.159558,-0.524399,0.836146,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.400999,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923279,8.13623,-0.05869,-4.42007,-7.47065,0.34654,-4.13877,-0.033911,0.297065,0.420488,0.856617,0.025937,-0.132062,-0.521032,0.842860,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.455000,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.15734,-0.06969,-4.37014,-7.49460,0.34132,-4.05287,-0.032028,0.282867,0.418777,0.862314,0.030442,-0.106719,-0.518769,0.847681,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.499001,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.15644,-0.07446,-4.34606,-7.49984,0.32630,-3.99231,-0.029131,0.271681,0.417559,0.866594,0.033359,-0.089053,-0.516227,0.851156,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.561001,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.14736,-0.06858,-4.34207,-7.49899,0.31582,-3.97006,-0.025837,0.263260,0.417487,0.869328,0.037613,-0.076696,-0.514767,0.853064,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.608999,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.12749,-0.07100,-4.34707,-7.50329,0.28419,-3.98071,-0.022770,0.257864,0.416563,0.871471,0.041351,-0.068502,-0.513542,0.854325,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.656000,1.06162,13.88614,2.93078,-2.09450,13.52060,3.42886,-0.223116,0.000106,0.161428,0.961332,-0.246271,-0.000000,-0.294798,0.923279,8.14622,-0.12167,-4.42333,-7.53772,0.20687,-4.01328,-0.019379,0.257833,0.414133,0.872720,0.042211,-0.061954,-0.512210,0.855582,0.6000,0.3344,0,1,0,18,384.5870,384.5870,0,0,0.0000,0.0000,0,0.0000,0.0000
26.719000,1.13211,13.86479,2.86073,-2.17832,13.53651,3.34783,-0.062417,0.189434,0.084268,0.976278,-0.125777,0.055025,-0.321801,0.936801,8.33817,-0.28608,-4.66470,-7.73542,0.09044,-4.10654,-0.018572,0.259032,0.412424,0.873192,0.039569,-0.060398,-0.521594,0.850133,-0.6000,-0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
