%frameid,time(us),x(mm),y(mm),z(mm) 
3496650,1908234080,-15.0864,14.5721,153.679
3496651,1908243837,-18.2435,14.4282,160.661
3496652,1908253741,-21.1025,13.6574,169.475
3496653,1908263538,-24.1582,13.0741,179.832
3496654,1908273314,-26.8523,11.4977,190.751
3496655,1908283253,-29.7227,9.98839,202.131
3496656,1908293041,-32.603,8.27579,213.667
3496657,1908302932,-34.7037,6.12156,224.952
3496658,1908312708,-36.4945,3.60141,235.513
3496659,1908322553,-37.9826,0.512916,245.517
3496660,1908332387,-39.2499,-3.04057,255.194
3496661,1908342206,-40.744,-6.09253,264.649
3496662,1908352128,-41.6372,-9.45212,273.202
3496663,1908381549,-43.6675,-18.2382,294.608
3496664,1908391494,-44.066,-19.6835,298.486
3496665,1908401273,-44.0331,-21.906,301.586
3496666,1908411085,-43.7413,-24.2772,303.821
3496667,1908420900,-43.6664,-25.7631,305.453
3496668,1908430785,-43.4761,-26.6101,306.28
3496669,1908440685,-43.2507,-27.0723,306.388
3496670,1908450462,-42.554,-28.0408,305.742
3496671,1908460293,-41.3817,-29.3274,303.682
3496672,1908470138,-39.6495,-30.5215,299.668
3496673,1908479965,-37.8255,-31.6208,294.715
3496674,1908489840,-36.0296,-32.0382,288.904
3496675,1908499641,-34.0565,-32.3216,282.653
3496676,1908509410,-32.1717,-32.1037,274.75
3496677,1908519304,-30.1588,-31.1435,265.291
3496678,1908529153,-28.1311,-29.6673,254.81
3496679,1908538957,-25.9255,-28.2194,243.746
3496680,1908548802,-23.0238,-26.7181,231.402
3496681,1908558669,-20.0224,-25.2052,218.034
3496682,1908568447,-16.8079,-23.5799,204.677
3496683,1908578304,-13.2722,-22.5704,191.754
3496684,1908588204,-9.49013,-21.9886,179.258
3496685,1908597968,-5.67901,-22.553,169.416
3496686,1908607841,-2.36772,-23.7524,162.128
3496687,1908617641,0.542386,-25.3971,157.526
3496688,1908627481,3.1817,-27.556,156.158
3496689,1908637357,4.40954,-28.9585,157.471
3496690,1908647112,5.54665,-31.3038,162.633
3496691,1908656975,6.12347,-34.5186,171.196
3496692,1908666812,6.13404,-38.0999,181.934
3496693,1908676668,5.81198,-42.0556,194.922
3496694,1908686490,5.38181,-47.0773,209.736
3496695,1908696359,4.90271,-52.7287,225.425
3496696,1908706187,4.2845,-58.8957,242.221
3496697,1908716053,4.11377,-66.1342,259.732
3496698,1908725805,3.97831,-73.4043,277.261
3496699,1908735723,3.90261,-80.9958,294.878
3496700,1908745535,3.95902,-89.4536,311.056
3496701,1908755386,4.44349,-98.1531,326.995
3496702,1908765241,5.25002,-107.044,342.649
3496703,1908775088,6.15644,-116.806,356.12
3496704,1908784915,7.61833,-126.641,368.136
3496705,1908794753,9.52877,-136.897,377.489
3496706,1908804581,10.8021,-145.256,385.576
3496707,1908814381,12.6552,-154.728,392.597
3496708,1908824218,14.7731,-163.1,398.103
3496709,1908834127,16.3572,-170.91,402.532
3496710,1908843955,18.1425,-177.983,406.211
3496711,1908853788,18.772,-183.143,408.403
3496712,1908863626,19.9831,-188.563,409.509
3496713,1908873360,20.5947,-191.684,409.215
3496714,1908883316,20.5634,-194.113,406.138
3496715,1908893116,20.3373,-195.303,403.52
3496716,1908902966,19.6433,-195.405,400.089
3496717,1908912786,20.1848,-193.875,393.882
3496718,1908922581,20.4234,-191.51,387.786
3496719,1908932466,20.8702,-187.898,380.515
3496720,1908942261,21.3505,-182.448,371.61
3496721,1908952171,20.0113,-175.394,362.431
3496722,1908961977,19.4043,-166.29,350.303
3496723,1908971787,18.9566,-156.33,338.327
3496724,1908981614,18.1829,-144.447,324.962
3496725,1908991479,17.1266,-131.223,311.546
3496726,1909001334,15.65,-117.139,296.521
3496727,1909011175,13.4489,-101.362,281.336
3496728,1909020951,11.6087,-84.4279,264.945
3496729,1909030734,9.75047,-66.8683,246.961
3496730,1909040653,7.89908,-49.3581,227.556
3496731,1909050494,5.37215,-32.5023,207.891
3496732,1909060311,4.11895,-18.7569,188.122
3496733,1909070137,3.52555,-8.05734,170.384
3496734,1909089797,0.360736,8.21636,141.553
3496735,1909099643,-1.73058,12.0958,134.821
3496736,1909109572,-4.88925,15.6526,131.03
3496737,1909119333,-8.65051,18.338,130.375
3496738,1909129186,-12.739,20.1226,133.148
3496739,1909138958,-16.4619,20.8726,138.326
3496740,1909148808,-20.2837,21.082,145.318
3496741,1909158705,-23.9929,20.4557,153.761
3496742,1909168498,-27.9942,19.8683,163.791
3496743,1909178393,-31.9448,18.8623,174.534
3496744,1909188210,-35.1991,17.5636,185.664
3496745,1909198087,-38.3124,15.98,197.054
3496746,1909207876,-41.2013,13.8261,208.217
3496747,1909217719,-43.7467,11.6313,219.227
