%frameid,time(us),x(mm),y(mm),z(mm) 
933131,2121735765,-29.5955,38.9085,272.671
933132,2121744957,-29.8114,36.2485,273.224
933133,2121754231,-29.9946,31.6913,273.379
933134,2121763384,-29.8792,27.3538,274.199
933135,2121772664,-29.6046,22.6257,274.558
933136,2121781904,-29.6247,18.1143,275.089
933137,2121791126,-29.5233,13.2542,275.471
933138,2121800338,-29.4084,8.08095,275.814
933139,2121809543,-29.3215,2.96279,276.186
933140,2121818765,-29.4588,-2.51887,276.807
933141,2121828052,-29.402,-9.00072,276.904
933142,2121837270,-29.2627,-15.2383,277.188
933143,2121846424,-29.1341,-21.8201,277.031
933144,2121855734,-29.1047,-28.1629,277.366
933145,2121864973,-28.8718,-34.7507,277.577
933146,2121874185,-28.7222,-41.502,277.873
933147,2121883411,-28.4771,-48.1308,278.27
933148,2121892690,-28.1652,-55.0205,278.453
933149,2121901873,-28.0239,-62.0944,278.292
933150,2121911140,-27.5956,-69.1368,277.922
933151,2121920341,-27.0632,-76.2623,277.451
933152,2121929600,-26.3443,-83.4183,276.686
933153,2121938765,-25.7871,-90.0043,275.532
933154,2121948007,-25.1214,-96.4696,274.527
933155,2121957253,-24.5018,-102.949,274.171
933156,2121966527,-23.6356,-109.143,273.071
933157,2121975679,-22.9627,-115.165,272.19
933158,2121984903,-22.168,-121.09,271.407
933159,2121994184,-21.351,-126.642,270.368
933160,2122003382,-20.2488,-132.29,268.964
933161,2122012621,-19.0523,-139.083,268.175
933162,2122021839,-18.3937,-143.9,265.978
933163,2122031002,-17.623,-148.841,265.322
933164,2122040367,-16.9789,-153.423,264.122
933165,2122049524,-16.2365,-156.814,262.932
933166,2122058719,-15.5009,-159.945,261.226
933167,2122067964,-15.08,-161.916,258.649
933168,2122077292,-14.5654,-165.617,258.01
933169,2122086471,-14.3917,-169.016,256.275
933170,2122095618,-13.7189,-171.757,255.594
933171,2122104956,-13.6943,-174.899,255.589
933172,2122114165,-13.6582,-176.872,255.718
933173,2122123359,-13.695,-177.979,255.119
933174,2122132634,-13.7415,-180.032,255.258
933175,2122141851,-13.774,-182.032,255.302
933176,2122151103,-13.8541,-183.26,254.742
933177,2122160331,-14.0754,-183.94,254.32
933178,2122169584,-14.3369,-184.281,253.961
933179,2122178719,-14.6148,-184.374,253.315
