%frameid,time(us),x(mm),y(mm),z(mm) 
926352,1996809081,-117.686,-59.9199,295.035
926353,1996818517,-118.972,-56.2357,296.063
926354,1996827988,-119.786,-52.4235,296.483
926355,1996837415,-120.393,-48.2568,297.274
926356,1996846745,-121.753,-43.6724,299.028
926357,1996856284,-122.715,-38.7432,300.557
926358,1996865659,-122.393,-34.5238,300.895
926359,1996875135,-121.688,-30.6473,300.958
926360,1996884507,-120.418,-26.7324,300.976
926361,1996893979,-119.98,-22.0249,302.054
926362,1996903400,-119.285,-17.4948,303.676
926363,1996912846,-118.524,-13.1907,305.312
926364,1996922281,-117.195,-8.71247,306.422
926365,1996931657,-115.122,-5.02016,307.148
926366,1996941155,-113.493,-0.811478,308.282
926367,1996950605,-111.236,2.89151,309.264
926368,1996960034,-108.895,6.95893,310.891
926369,1996969429,-106.55,10.9682,312.221
926370,1996978896,-104.101,15.2006,313.405
926371,1996988341,-101.132,18.0831,314.304
926372,1996997694,-98.0258,21.2375,315.358
926373,1997007138,-94.4769,23.9053,316.493
926374,1997016648,-91.1551,27.4146,317.994
926375,1997025976,-87.8502,30.6391,319.109
926376,1997035489,-84.1649,33.9022,320.465
926377,1997044843,-80.4181,36.6118,321.179
926378,1997054337,-76.311,38.9473,321.742
926379,1997063820,-72.0932,41.5322,322.582
926380,1997073220,-68.0593,44.2221,323.341
926381,1997082642,-63.6971,46.3668,324.433
926382,1997092080,-59.2977,48.0552,325.049
926383,1997101503,-54.8607,50.0211,325.641
926384,1997110904,-50.2669,51.7574,326.412
926385,1997120381,-45.6459,52.8019,327.131
926386,1997129724,-41.0344,53.7859,327.628
926387,1997139263,-36.3517,54.8018,327.91
926388,1997148693,-31.417,55.8489,328.505
926389,1997158096,-26.6178,56.5761,328.889
926390,1997167554,-21.8684,57.4096,329.268
926391,1997177003,-16.9962,57.6844,329.003
926392,1997186398,-12.3513,57.8748,328.96
926393,1997195881,-7.70366,57.8412,329.029
926394,1997205300,-3.12907,57.613,329.136
926395,1997214734,1.5778,56.905,329.047
926396,1997224115,6.25275,55.9472,328.892
926397,1997233584,10.922,55.1706,328.748
926398,1997243000,15.5295,53.9015,328.483
926399,1997252457,19.9561,52.5443,328.244
926400,1997261880,24.3723,50.5733,328.076
926401,1997271346,28.7752,48.4241,327.833
926402,1997299618,43.2461,41.9279,326.409
926403,1997309066,46.361,39.2695,326.284
926404,1997318514,49.7988,36.7726,325.932
926405,1997327839,53.5001,33.5961,325.705
926406,1997337380,56.8048,30.3382,325.38
926407,1997346733,59.9151,27.077,324.64
926408,1997356220,62.8994,23.5854,323.975
926409,1997365597,65.7566,19.8256,323.333
926410,1997375073,68.6348,15.8714,322.949
926411,1997384441,71.1881,11.9733,322.574
926412,1997393964,73.669,7.75618,322.102
926413,1997403423,75.8865,3.63246,321.546
926414,1997412809,77.6232,-0.953348,320.982
926415,1997422261,79.2803,-5.68976,320.219
926416,1997431722,80.6673,-10.0705,319.294
926417,1997441128,81.9425,-14.335,318.5
926418,1997450530,83.0486,-19.0277,317.845
926419,1997460012,83.8535,-23.2588,317.229
926420,1997469439,84.6311,-27.8376,316.298
926421,1997478877,85.167,-32.8788,315.449
926422,1997488287,85.6471,-38.0827,314.662
926423,1997497709,85.9548,-42.8508,313.986
926424,1997507177,85.9924,-47.5161,313.048
926425,1997516583,85.8425,-52.087,311.945
926426,1997526002,85.4429,-56.3733,310.809
926427,1997535450,84.8497,-61.0855,309.881
926428,1997544812,84.2544,-65.6295,308.499
926429,1997554334,83.3113,-70.2589,307.44
926430,1997563736,82.4005,-74.8488,306.387
926431,1997573179,81.4129,-79.7779,305.662
926432,1997582627,80.2881,-84.8176,305.084
926433,1997592064,78.8656,-89.138,304.178
926434,1997601546,77.2025,-93.8729,303.08
926435,1997610858,75.3454,-98.2562,302.121
926436,1997620368,73.3167,-102.503,301.298
926437,1997629709,71.212,-107.094,300.468
926438,1997639216,68.8932,-111.436,299.83
926439,1997648607,66.2503,-114.915,299.116
926440,1997658023,63.6645,-118.941,298.45
926441,1997667509,60.8053,-122.106,297
926442,1997676956,58.222,-125.41,296.382
926443,1997686413,55.1916,-129.119,295.049
926444,1997695866,51.9952,-131.78,293.376
926445,1997705259,48.4551,-134.839,292.634
926446,1997714637,45.1772,-137.998,291.66
926447,1997724099,41.4801,-140.94,290.521
926448,1997733581,37.8802,-143.931,289.535
926449,1997742992,34.1963,-146.051,288.387
926450,1997752434,30.3063,-148.049,287.283
926451,1997761919,26.7423,-149.604,286.627
926452,1997771304,22.8011,-151.297,285.977
926453,1997780749,18.7972,-152.474,285.001
926454,1997790180,14.6266,-153.576,284.321
926455,1997799541,10.4731,-154.829,283.684
926456,1997809071,6.33372,-156.209,282.507
926457,1997818421,2.42662,-157.171,281.855
926458,1997827808,-1.82109,-157.915,281.546
926459,1997837333,-5.92064,-158.208,281.238
926460,1997846710,-10.0797,-158.575,280.533
926461,1997856183,-14.4679,-158.4,279.837
926462,1997865680,-18.798,-158.112,279.104
926463,1997875089,-22.8149,-158.09,278.273
926464,1997884489,-27.0618,-157.21,277.667
926465,1997893954,-31.1941,-156.473,277.466
926466,1997903420,-35.4374,-155.824,276.646
926467,1997912730,-39.8824,-154.328,276.905
926468,1997922191,-44.2302,-152.917,276.449
926469,1997931684,-48.1384,-151.768,276.016
926470,1997941087,-52.2007,-150.792,275.935
