%frameid,time(us),x(mm),y(mm),z(mm) 
3500551,1955527005,-12.3247,25.5201,257.83
3500552,1955536619,-13.7712,24.0157,260.925
3500553,1955546266,-15.2609,23.0077,262.987
3500554,1955555868,-16.5179,22.1311,264.04
3500555,1955565499,-17.7737,21.1524,264.198
3500556,1955575122,-19.0795,20.0708,263.83
3500557,1955584730,-20.6887,18.7507,262.378
3500558,1955594356,-22.1418,17.3642,259.87
3500559,1955604006,-23.209,16.3793,257.315
3500560,1955613693,-24.2698,15.7481,254.04
3500561,1955623230,-25.0927,14.8379,250.814
3500562,1955632934,-25.4899,14.1761,247.787
3500563,1955642562,-25.5121,13.6597,245.131
3500564,1955652185,-25.4494,12.886,242.724
3500565,1955661798,-24.8856,11.8042,240.663
3500566,1955671424,-24.1274,10.0894,239.422
3500567,1955681079,-23.4756,8.26705,238.823
3500568,1955690673,-22.8183,5.82346,239.075
3500569,1955700376,-21.9839,3.00602,239.95
3500570,1955709935,-21.3221,-0.223275,241.586
3500571,1955719577,-20.6684,-3.65744,243.913
3500572,1955729192,-19.9165,-7.50277,247.424
3500573,1955738835,-19.0518,-11.6319,251.507
3500574,1955748462,-18.1776,-16.1705,256.988
3500575,1955758077,-17.12,-20.6731,262.576
3500576,1955767722,-15.6378,-25.702,268.629
3500577,1955777333,-14.6677,-30.2942,275.205
3500578,1955787003,-13.6717,-35.6101,282.104
3500579,1955796604,-12.9695,-40.9255,289.698
3500580,1955806196,-12.3095,-46.1912,297.44
3500581,1955815873,-12.082,-51.1001,306.26
3500582,1955825489,-11.5518,-56.5404,315.202
3500583,1955835113,-11.447,-62.3945,324.176
3500584,1955844744,-10.8863,-67.7446,332.206
3500585,1955854364,-10.2941,-73.9658,341.15
3500586,1955863965,-9.68827,-80.318,349.638
3500587,1955873639,-9.01354,-86.4257,357.267
3500588,1955883270,-8.1467,-92.1974,363.575
3500589,1955892888,-7.13929,-98.3842,369.383
3500590,1955902492,-5.89418,-104.759,375.413
3500591,1955912173,-4.51137,-110.999,380.827
3500592,1955921794,-3.40526,-116.491,385.941
3500593,1955931412,-2.45118,-121.23,389.153
3500594,1955941049,-0.944416,-127.349,392.868
3500595,1955950670,0.755508,-132.8,395.925
3500596,1955960327,2.13338,-137.467,398.591
3500597,1955969935,3.8905,-143.197,400.716
3500598,1955979550,5.35838,-147.692,401.272
3500599,1955989162,6.64428,-151.472,401.589
3500600,1955998783,7.13586,-153.822,401.788
3500601,1956008429,8.04513,-155.994,399.685
3500602,1956018062,8.7758,-157.613,397.575
3500603,1956027675,9.10167,-158.432,395.833
3500604,1956037320,10.0287,-158.496,390.811
3500605,1956046924,11.3566,-158.569,386.2
3500606,1956056573,12.2915,-157.294,381.063
3500607,1956066217,13.2119,-155.662,375.368
3500608,1956075828,14.1473,-152.641,368.576
3500609,1956085468,15.2454,-149.16,361.052
3500610,1956095097,16.2811,-144.792,353.664
3500611,1956104720,17.2493,-140.037,345.47
3500612,1956114356,18.1022,-135.122,337.114
3500613,1956123956,18.8351,-129.573,327.325
3500614,1956133639,19.4519,-122.856,317.067
3500615,1956143262,20.1291,-116.169,306.589
3500616,1956152863,20.2086,-108.013,295.204
3500617,1956162503,20.679,-100.532,283.078
3500618,1956172101,20.8044,-92.2751,270.7
3500619,1956181744,20.688,-83.5347,258.194
3500620,1956191385,20.9058,-75.1954,245.13
3500621,1956200994,21.0113,-66.4187,232.3
3500622,1956210631,21.0758,-58.0869,219.029
3500623,1956220332,20.8631,-49.5623,205.922
3500624,1956229975,20.7517,-41.5699,193.115
3500625,1956239469,20.4869,-33.6398,181.03
3500626,1956249179,20.3728,-26.6101,169.033
3500627,1956258754,20.1118,-19.8641,158.112
3500628,1956268419,19.7414,-13.5686,148.261
3500629,1956278046,18.8731,-7.46755,139.745
3500630,1956287723,17.8503,-2.27233,132.685
3500631,1956297347,16.9461,2.15294,127.944
3500632,1956306984,15.6562,5.79555,124.878
3500633,1956316635,14.2526,8.68128,123.546
3500634,1956326190,12.9897,10.4409,123.577
3500635,1956335816,11.6789,11.765,124.902
3500636,1956345469,9.85515,12.6673,127.777
3500637,1956355080,8.06902,13.4457,131.923
3500638,1956364721,5.98789,14.072,136.989
3500639,1956374346,3.65056,14.393,142.592
3500640,1956384002,1.17821,14.6356,148.674
3500641,1956393683,-0.859062,14.2537,154.522
3500642,1956403252,-2.66116,13.3503,160.276
3500643,1956432136,-9.04726,11.0239,180.248
3500644,1956441741,-10.2755,10.138,184.194
