time,x_corr,y_corr,z_corr,Q1L,Q2L,dL,Q3L,QgL,FgL,Q1R,Q2R,dR,Q3R,QgR,FgR,xL,yL,zL,xR,yR,zR,toolPathL,toolPathR,toolSpeedL,toolSpeedR,toolAccL,toolAccR,toolJerkL,toolJerkR,toolPathCrvL,toolPathCrvR,dQ3L,dQgL,dFgL,dQ3R,dQgR,dFgR,dQ3Latan,dQ3Ratan,dxL,dyL,dzL,dxR,dyR,dzR,inputx,inputy,inputz,skillLevel
-1.584000,-2.102989,-0.595818,1.860381,11.393238,-14.212882,-4.942197,15.453045,11.763501,0.105771,7.342613,-28.539811,-5.632034,24.459540,9.231830,0.267892,-4.239419,3.066126,3.618427,0.351047,1.066751,4.278865,25.135207,23.446424,12.605357,8.168777,27.890138,-1.413806,-989.329872,-175.181456,0.894362,0.318172,27.200300,-18.968446,1.747840,-27.207663,-8.721854,3.025824,42.070293,-42.081335,3.384834,1.311839,-6.737069,-0.305411,3.879780,-6.996264,-1.832204,-3.700343,7.068694,3.000000
-1.551000,-1.970102,-0.570591,1.639070,11.578626,-14.748042,-4.782993,16.412948,11.069553,0.160694,7.602310,-28.385566,-5.420224,23.474086,8.917939,0.362712,-4.106532,3.091353,3.397115,0.334902,1.182209,4.052422,25.547441,23.747853,12.441919,8.134245,-25.687666,-15.895947,-1373.581412,-402.550085,0.628273,0.347116,28.416304,-21.109612,1.440267,-27.278982,-10.518529,2.607923,43.890301,-42.188284,4.571985,0.316017,-6.551487,-0.678097,3.135733,-6.634282,-1.832204,-3.700343,7.068694,3.000000
-1.518000,-1.804354,-0.572608,1.430325,11.797803,-15.427381,-4.630610,17.367737,10.394789,0.199687,7.849007,-28.326278,-5.213977,22.650305,8.542050,0.439255,-3.940783,3.089336,3.188370,0.306092,1.273975,3.843168,25.908747,23.997856,10.411715,7.125281,-69.591385,-34.166923,-852.191028,-295.623603,0.465935,0.420039,23.934927,-18.574953,0.864741,-21.183927,-11.408990,1.894679,37.147258,-32.962450,5.367304,-0.323850,-6.007307,-1.063531,2.462380,-5.967403,-1.832204,-3.700343,7.068694,3.000000
-1.485000,-1.619250,-0.589355,1.244448,12.022101,-16.181600,-4.495167,18.042267,9.866817,0.216683,8.054981,-28.350196,-5.028769,22.114872,8.160951,0.487723,-3.755680,3.072589,3.002493,0.264803,1.345438,3.660348,26.228606,24.212585,7.666716,5.646216,-80.620151,-38.989553,76.689594,102.722368,0.382693,0.595524,14.344598,-13.131101,0.194082,-12.992636,-10.343981,0.937361,22.434306,-20.335760,5.745714,-0.576258,-5.210745,-1.426168,1.917577,-5.055162,-1.832204,-3.700343,7.068694,3.000000
-1.452000,-1.428515,-0.608124,1.087621,12.222723,-16.941837,-4.382906,18.307074,9.546626,0.211770,8.196622,-28.438461,-4.878939,21.836779,7.854291,0.501642,-3.564945,3.053820,2.845666,0.212323,1.401554,3.510720,26.440463,24.368689,5.061473,4.435418,-60.029282,-26.293169,775.347642,477.319718,0.379855,0.987670,4.276414,-6.785642,-0.403769,-6.069588,-7.215207,-0.120298,6.714757,-9.526603,5.718344,-0.460678,-4.296569,-1.735323,1.537358,-3.985639,-1.832204,-3.700343,7.068694,3.000000
-1.419000,-1.244939,-0.617660,0.961384,12.374996,-17.646254,-4.287399,18.271971,9.430817,0.189911,8.257464,-28.567971,-4.761094,21.727912,7.684053,0.480693,-3.381369,3.044284,2.719429,0.150844,1.448065,3.397792,26.542956,24.503728,3.594199,3.907406,-24.818720,-4.854152,891.706634,542.481412,0.503410,1.751288,-1.560198,-1.216550,-0.815730,-1.545714,-2.924115,-1.076452,-2.450626,-2.427879,5.329052,-0.043782,-3.401825,-1.967349,1.333274,-2.863426,-1.832204,-3.700343,7.068694,3.000000
-1.386000,-1.079394,-0.609590,0.863005,12.461866,-18.245504,-4.195564,18.164596,9.470818,0.158469,8.230285,-28.714461,-4.659542,21.720801,7.665695,0.431749,-3.215824,3.052354,2.621050,0.083201,1.490688,3.321507,26.659102,24.622225,3.573246,4.115016,2.140702,11.996977,505.028046,246.372001,0.827287,2.809669,-2.048511,2.608252,-1.003164,0.946058,1.147899,-1.733750,-3.217506,1.486036,4.648132,0.570339,-2.640082,-2.106992,1.292982,-1.795518,-1.832204,-3.700343,7.068694,3.000000
-1.353000,-0.940089,-0.579433,0.786633,12.476118,-18.706544,-4.099993,18.144449,9.600513,0.124713,8.117971,-28.855409,-4.564711,21.773288,7.765931,0.367536,-3.076519,3.082511,2.544678,0.012584,1.534368,3.278401,26.783193,24.775187,4.078145,4.755546,7.466701,13.278785,2.437824,-205.744374,1.411971,3.327001,0.277576,4.521313,-0.991007,2.017229,3.876578,-1.965380,0.436015,3.168381,3.764038,1.254658,-2.081034,-2.147892,1.383807,-0.877194,-1.832204,-3.700343,7.068694,3.000000
-1.320000,-0.832127,-0.527081,0.724998,12.421003,-19.014458,-4.003957,18.222988,9.761564,0.094175,7.933032,-28.972424,-4.481407,21.846313,7.924794,0.303294,-2.968557,3.134863,2.483043,-0.057751,1.582702,3.262206,26.954051,24.930828,4.153304,5.179403,-2.910321,-2.515689,-240.140476,-481.071973,2.153977,2.706806,2.010734,4.963488,-0.840215,2.117991,4.895635,-1.758828,3.158181,3.326613,2.774118,1.876489,-1.739210,-2.092270,1.558611,-0.179965,-1.832204,-3.700343,7.068694,3.000000
-1.287000,-0.757366,-0.456690,0.671296,12.309235,-19.172219,-3.914477,18.316518,9.918009,0.070081,7.695842,-29.052896,-4.418103,21.906833,8.086600,0.252563,-2.893796,3.205254,2.429341,-0.124754,1.637571,3.264794,27.058051,25.121274,3.705197,4.719904,-12.790932,-23.075070,-146.618903,-370.565507,2.645439,1.754184,1.521350,4.628733,-0.621270,1.725124,4.624044,-1.221005,2.389614,2.709646,1.775378,2.315287,-1.573849,-1.949918,1.763089,0.256680,-1.832204,-3.700343,7.068694,3.000000
-1.254000,-0.714572,-0.376001,0.620896,12.160538,-19.198543,-3.831803,18.344353,10.057534,0.053478,7.431877,-29.090754,-4.371574,21.946370,8.222232,0.223529,-2.851002,3.285943,2.378941,-0.185805,1.699037,3.277317,27.191635,25.268472,3.116710,3.462940,-12.290863,-30.781613,55.982266,8.388080,2.686244,1.240515,-0.364133,4.119398,-0.399609,1.256561,3.882365,-0.543489,-0.571978,1.973735,0.856163,2.478647,-1.499778,-1.736651,1.943444,0.428633,-1.832204,-3.700343,7.068694,3.000000
-1.221000,-0.699831,-0.295184,0.572523,11.998173,-19.124231,-3.747448,18.293934,10.183029,0.043553,7.168352,-29.086359,-4.325633,21.975038,8.332793,0.217128,-2.836260,3.366760,2.330568,-0.238883,1.765483,3.291372,27.275635,25.340078,2.784851,2.363961,-4.667615,-20.434871,109.502443,304.048859,2.720212,1.392122,-1.419063,3.749742,-0.231829,0.664726,3.372339,0.058935,-2.228964,1.044140,0.089497,2.314430,-1.407063,-1.472392,2.053449,0.365321,-1.832204,-3.700343,7.068694,3.000000
-1.188000,-0.707134,-0.225374,0.528684,11.845003,-18.987518,-3.653892,18.234765,10.301319,0.037873,6.930745,-29.045613,-4.265450,21.988325,8.436299,0.227448,-2.843564,3.436570,2.286729,-0.282667,1.833961,3.300021,27.355635,25.400078,2.875000,2.103687,-0.461117,-4.863444,-3.481135,278.577079,3.655966,2.005186,0.273169,3.536100,-0.162842,-0.574081,3.321758,0.414711,0.429093,-0.901758,-0.471492,1.817468,-1.185512,-1.179107,2.060016,0.123185,-1.832204,-3.700343,7.068694,3.000000
-1.155000,-0.729087,-0.177079,0.495257,11.719718,-18.829048,-3.556520,18.285427,10.414968,0.032743,6.739723,-28.978488,-4.191604,21.949338,8.547805,0.244199,-2.865517,3.484865,2.253302,-0.316568,1.900696,3.298528,27.464885,25.481570,3.026594,2.330602,-4.755259,0.457381,-54.300169,30.316535,9.910264,2.907993,4.851871,3.314528,-0.214947,-2.790969,3.460714,0.444873,7.617478,-4.383316,-0.795875,1.030014,-0.749214,-0.878757,1.946671,-0.224299,-1.832204,-3.700343,7.068694,3.000000
